"tool","cutting_depth_ai","tool_diameter_d","diameter_ae","feed_vel_f","revol_n","num_of_inserts_z","feet_per_insert_fz","cut_vel_vc","energy","time","distance"
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11408.0711818226,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11387.2754928504,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11344.7414353342,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11155.5072390993,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11359.2144294377,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11529.1443096564,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11498.7334987668,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11475.7076972146,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11469.4063694981,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11436.9330167469,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11451.5623507067,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11415.2936379971,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11380.5583104982,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11182.2237217998,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11320.420672141,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11528.3768444119,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11494.4564948673,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11488.9516983451,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11503.5526838059,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11451.9482701737,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11453.0335154692,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11416.9560861421,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11368.5729983592,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11203.3288619566,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11365.9568835293,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11531.4205276392,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11502.9072771536,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11509.5181986251,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11506.9194773746,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11480.2258887084,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11498.2063886899,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11450.0342359988,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11397.0913491831,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11208.271609475,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11186.0690917481,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11400.5059104967,9.592,0.151713466666667
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11411.3192419068,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11447.1209816215,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11474.7604048028,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11445.8108477388,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11464.28923548,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11439.1770046387,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11397.7243890096,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11214.5245184703,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11227.8118241865,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11435.7877539446,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11431.169767824,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11473.892004369,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11481.8808128196,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11450.202528767,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11479.7822742512,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11444.9728653731,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11404.8381192165,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11219.532521805,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11259.3598725489,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11441.1928616181,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11439.3346736183,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11487.2056488025,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11500.998117964,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11482.1789733546,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11492.3016916109,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11461.2623065652,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11427.1041681187,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11238.5704290767,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11330.1299824523,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11504.4712689933,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11489.0063855614,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11525.1759935006,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11537.2318549541,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11510.5778870405,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11531.4514010126,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11504.7128751006,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11462.3054614222,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11275.3311335734,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11285.7446998868,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11463.5882999867,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11453.4969655975,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11496.7680197006,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11523.9528183166,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11506.4450263362,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11535.4165116357,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11514.2837496286,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11489.7403973696,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11278.9768682777,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11396.3430757436,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11553.182792809,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11518.372744664,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11534.105517732,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11543.6681691718,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11513.9073455809,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11555.7153936231,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11520.5607806027,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11495.7168027218,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,5778.60852961831,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11276.5977927058,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11466.0288187686,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11475.8064570567,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11532.2306306083,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11543.7963904812,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11541.6479201066,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11541.7141969104,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11536.2180327912,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11505.206412166,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11285.6858919282,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11345.9987814052,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11508.528719195,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11482.6689783552,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11519.8533466621,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11539.7963179358,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11520.2536565336,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11558.6883205791,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11562.2984127028,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11528.7706466381,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11317.3146856827,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11255.2821221729,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11430.1963942413,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11431.2734118495,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11500.1120664043,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11510.2394802832,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11491.8862462899,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11537.9498574948,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11545.3272830109,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11517.0850541095,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11301.2428619914,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11304.585170257,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11483.1459726641,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11486.2802938243,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11518.9276513547,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11550.1706958067,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11523.2552769167,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11560.3829482256,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11573.4941979896,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11546.5637954186,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,5771.94658636753,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11338.2301107307,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11524.0679461516,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11502.8338350413,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11544.8206340748,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11568.5435171227,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11533.7661313786,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11575.8421932312,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11597.5119762521,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11562.2049693539,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,5770.99151697465,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11288.235913916,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11481.2299379057,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11487.8889331701,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11517.1979284136,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11545.5752657077,9.592,0.151713466666667
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11537.9535229318,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11575.8604606287,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11584.3432752471,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11573.941703237,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11368.6640915973,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11291.3422728967,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11475.5485473432,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11499.7987106324,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11538.5537899803,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11555.6469460712,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11527.893383849,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11587.2502933226,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11594.4344210755,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11590.6054283182,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11368.9966391742,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11315.227874673,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11503.6647440794,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11502.5232248979,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11541.5827102806,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11551.8029006472,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11549.8152312002,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11601.620112503,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11593.8863623594,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11593.9675584576,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,5794.67077350377,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11398.6812750243,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11560.7887079627,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11549.0105734976,9.608,0.151966533333333
"wsp1030",0.002,0.04,0.03,0.0158166666666667,2108,3,0.00015,0.265,11565.2799536656,9.608,0.151966533333333
