filename,tool,cutting_depth_ap,tool_diameter_d,diameter_ae,feed_vel_f,revol_N,num_of_inserts_z,feet_per_insert_fz,cut_vel_vc,Power,Energy,time,distance
Trace_080807_102206R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1157.83389238293,11124.4680380152,9.608,0.151966533333333
Trace_080807_102349R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1167.593506077,11218.2384063878,9.608,0.151966533333333
Trace_080807_102409R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1190.94201040583,11442.5708359792,9.608,0.151966533333333
Trace_080807_102428R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1188.12339415193,11415.4895710117,9.608,0.151966533333333
Trace_080807_102447R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1186.54339275754,11400.3089176145,9.608,0.151966533333333
Trace_080807_102506R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1185.64235567118,11391.6517532887,9.608,0.151966533333333
Trace_080807_102526R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1182.40014595213,11360.5006023081,9.608,0.151966533333333
Trace_080807_102545R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1185.7232778564,11392.4292536443,9.608,0.151966533333333
Trace_080807_102604R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1183.58218416233,11371.8576254317,9.608,0.151966533333333
Trace_080807_102623R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1178.24740955255,11320.6011109809,9.608,0.151966533333333
Trace_080807_102643R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1160.09145702393,11146.158719086,9.608,0.151966533333333
Trace_080807_102931R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1163.70557889698,11180.8832020422,9.608,0.151966533333333
Trace_080807_102950R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1187.01224763788,11404.8136753047,9.608,0.151966533333333
Trace_080807_103009R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1186.84817075963,11403.2372246585,9.608,0.151966533333333
Trace_080807_103029R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1187.67057034339,11411.1388398593,9.608,0.151966533333333
Trace_080807_103048R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1187.57016349636,11410.174130873,9.608,0.151966533333333
Trace_080807_103107R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1184.26556609781,11378.4235590678,9.608,0.151966533333333
Trace_080807_103127R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1187.35128869927,11408.0711818226,9.608,0.151966533333333
Trace_080807_103146R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1185.18687477627,11387.2754928504,9.608,0.151966533333333
Trace_080807_103206R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1180.75993290323,11344.7414353342,9.608,0.151966533333333
Trace_080807_103228R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1161.0644503642,11155.5072390993,9.608,0.151966533333333
Trace_080807_103445R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1182.26628116545,11359.2144294377,9.608,0.151966533333333
Trace_080807_103504R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1199.9525717794,11529.1443096564,9.608,0.151966533333333
Trace_080807_103524R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1196.7874166077,11498.7334987668,9.608,0.151966533333333
